"date","pdsi","coord","day","month","year"
1986-01-15,1.43,"Bovill",15,1,1986
1986-01-20,1.34,"Bovill",20,1,1986
1986-01-25,1.25,"Bovill",25,1,1986
1986-01-30,1.26,"Bovill",30,1,1986
1986-02-04,1.24,"Bovill",4,2,1986
1986-02-09,1.23,"Bovill",9,2,1986
1986-02-14,1.26,"Bovill",14,2,1986
1986-02-19,1.36,"Bovill",19,2,1986
1986-02-24,1.58,"Bovill",24,2,1986
1986-03-01,1.72,"Bovill",1,3,1986
1986-03-06,1.85,"Bovill",6,3,1986
1986-03-11,2.02,"Bovill",11,3,1986
1986-03-16,2.17,"Bovill",16,3,1986
1986-03-21,2.2,"Bovill",21,3,1986
1986-03-26,2.12,"Bovill",26,3,1986
1986-03-31,2.06,"Bovill",31,3,1986
1986-04-05,1.98,"Bovill",5,4,1986
1986-04-10,1.82,"Bovill",10,4,1986
1986-04-15,1.7,"Bovill",15,4,1986
1986-04-20,1.61,"Bovill",20,4,1986
1986-04-25,1.53,"Bovill",25,4,1986
1986-04-30,1.48,"Bovill",30,4,1986
1986-05-05,1.49,"Bovill",5,5,1986
1986-05-10,1.51,"Bovill",10,5,1986
1986-05-15,1.5,"Bovill",15,5,1986
1986-05-20,1.48,"Bovill",20,5,1986
1986-05-25,1.47,"Bovill",25,5,1986
1986-05-30,1.41,"Bovill",30,5,1986
1986-06-04,1.3,"Bovill",4,6,1986
1986-06-09,1.17,"Bovill",9,6,1986
1986-06-14,1.02,"Bovill",14,6,1986
1986-06-19,0.870000000000001,"Bovill",19,6,1986
1986-06-24,0.69,"Bovill",24,6,1986
1986-06-29,-1.05,"Bovill",29,6,1986
1986-07-04,-1.14,"Bovill",4,7,1986
1986-07-09,-1.23,"Bovill",9,7,1986
1986-07-14,-1.31,"Bovill",14,7,1986
1986-07-19,-1.34,"Bovill",19,7,1986
1986-07-24,-1.38,"Bovill",24,7,1986
1986-07-29,-1.4,"Bovill",29,7,1986
1986-08-03,-1.43,"Bovill",3,8,1986
1986-08-08,-1.47,"Bovill",8,8,1986
1986-08-13,-1.5,"Bovill",13,8,1986
